Key,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
U1PipeBomb,Ultimate Tier 1 Pipe Bomb,Ultimative Stufe 1 Rohrbombe,Bomba de Tubo Suprema Nivel 1,Bombe Artisanale Ultime Niveau 1,Bomba a Tubo Suprema Livello 1,アルティメット ティア1 パイプボム,얼티밋 티어 1 파이프 폭탄,Bomba Rurowa Najwyższego Poziomu 1,Bomba de Cano Suprema Nível 1,Трубчатая Бомба Высшего Уровня 1,Ultimate Tier 1 Boru Bombası,终极 1 级管道炸弹,終極 1 級管道炸彈
U2PipeBomb,Ultimate Tier 2 Pipe Bomb,Ultimative Stufe 2 Rohrbombe,Bomba de Tubo Suprema Nivel 2,Bombe Artisanale Ultime Niveau 2,Bomba a Tubo Suprema Livello 2,アルティメット ティア2 パイプボム,얼티밋 티어 2 파이프 폭탄,Bomba Rurowa Najwyższego Poziomu 2,Bomba de Cano Suprema Nível 2,Трубчатая Бомба Высшего Уровня 2,Ultimate Tier 2 Boru Bombası,终极 2 级管道炸弹,終極 2 級管道炸彈
U3PipeBomb,Ultimate Tier 3 Pipe Bomb,Ultimative Stufe 3 Rohrbombe,Bomba de Tubo Suprema Nivel 3,Bombe Artisanale Ultime Niveau 3,Bomba a Tubo Suprema Livello 3,アルティメット ティア3 パイプボム,얼티밋 티어 3 파이프 폭탄,Bomba Rurowa Najwyższego Poziomu 3,Bomba de Cano Suprema Nível 3,Трубчатая Бомба Высшего Уровня 3,Ultimate Tier 3 Boru Bombası,终极 3 级管道炸弹,終極 3 級管道炸彈
U4PipeBomb,Ultimate Tier 4 Pipe Bomb,Ultimative Stufe 4 Rohrbombe,Bomba de Tubo Suprema Nivel 4,Bombe Artisanale Ultime Niveau 4,Bomba a Tubo Suprema Livello 4,アルティメット ティア4 パイプボム,얼티밋 티어 4 파이프 폭탄,Bomba Rurowa Najwyższego Poziomu 4,Bomba de Cano Suprema Nível 4,Трубчатая Бомба Высшего Уровня 4,Ultimate Tier 4 Boru Bombası,终极 4 级管道炸弹,終極 4 級管道炸彈
U5PipeBomb,Ultimate Tier 5 Pipe Bomb,Ultimative Stufe 5 Rohrbombe,Bomba de Tubo Suprema Nivel 5,Bombe Artisanale Ultime Niveau 5,Bomba a Tubo Suprema Livello 5,アルティメット ティア5 パイプボム,얼티밋 티어 5 파이프 폭탄,Bomba Rurowa Najwyższego Poziomu 5,Bomba de Cano Suprema Nível 5,Трубчатая Бомба Высшего Уровня 5,Ultimate Tier 5 Boru Bombası,终极 5 级管道炸弹,終極 5 級管道炸彈
U1Dinamit,Ultimate Tier 1 Dynamite,Ultimatives Stufe 1 Dynamit,Dinamita Suprema Nivel 1,Dynamite Ultime Niveau 1,Dinamite Suprema Livello 1,アルティメット ティア1 ダイナマイト,얼티밋 티어 1 다이너마이트,Dynamit Najwyższego Poziomu 1,Dinamite Suprema Nível 1,Динамит Высшего Уровня 1,Ultimate Tier 1 Dinamit,终极 1 级炸药,終極 1 級炸藥
U2Dinamit,Ultimate Tier 2 Dynamite,Ultimatives Stufe 2 Dynamit,Dinamita Suprema Nivel 2,Dynamite Ultime Niveau 2,Dinamite Suprema Livello 2,アルティメット ティア2 ダイナマイト,얼티밋 티어 2 다이너마이트,Dynamit Najwyższego Poziomu 2,Dinamite Suprema Nível 2,Динамит Высшего Уровня 2,Ultimate Tier 2 Dinamit,终极 2 级炸药,終極 2 級炸藥
U3Dinamit,Ultimate Tier 3 Dynamite,Ultimatives Stufe 3 Dynamit,Dinamita Suprema Nivel 3,Dynamite Ultime Niveau 3,Dinamite Suprema Livello 3,アルティメット ティア3 ダイナマイト,얼티밋 티어 3 다이너마이트,Dynamit Najwyższego Poziomu 3,Dinamite Suprema Nível 3,Динамит Высшего Уровня 3,Ultimate Tier 3 Dinamit,终极 3 级炸药,終極 3 級炸藥
U4Dinamit,Ultimate Tier 4 Dynamite,Ultimatives Stufe 4 Dynamit,Dinamita Suprema Nivel 4,Dynamite Ultime Niveau 4,Dinamite Suprema Livello 4,アルティメット ティア4 ダイナマイト,얼티밋 티어 4 다이너마이트,Dynamit Najwyższego Poziomu 4,Dinamite Suprema Nível 4,Динамит Высшего Уровня 4,Ultimate Tier 4 Dinamit,终极 4 级炸药,終極 4 級炸藥
U5Dinamit,Ultimate Tier 5 Dynamite,Ultimatives Stufe 5 Dynamit,Dinamita Suprema Nivel 5,Dynamite Ultime Niveau 5,Dinamite Suprema Livello 5,アルティメット ティア5 ダイナマイト,얼티밋 티어 5 다이너마이트,Dynamit Najwyższego Poziomu 5,Dinamite Suprema Nível 5,Динамит Высшего Уровня 5,Ultimate Tier 5 Dinamit,终极 5 级炸药,終極 5 級炸藥
